id,name,email,password,type,branch,year,courses
1,Vrinda,mocchi,lol,2,NULL,NULL,NULL
jfkgl,cjvk,bhkbk@iiitd.ac.in,444,0,CSAM,1,"MTH100,MTH101"
khhgl,dydu,gdfg@iiitd.ac.in,222,0,ECE,2,"MTH100,MTH101,CSE100"
2,"Rajiv Raman",rajiv@iiitd.ac.in,111,1,NULL,NULL,"MTH101,CSE300"
jjoi,kjpj,nvojv@iiitd.ac.in,1111,0,CSE,1,NULL
nojp,njpkp,njp@iiitd.ac.in,2222,0,CSE,1,NULL
joho,lol,lol@iiitd.ac.in,lol,0,CSE,1,NULL
ok,ok,hkho@iiitd.ac.in,4444,0,CSE,1,NULL
546,xhydif,chfk@iiitd.ac.in,333,0,CSE,1,NULL
ljholj,lejf,khl@iiitd.ac.in,jjj,0,CSE,1,NULL
iho,ewkfhewo,hghkgo@iiitd.ac.in,555,0,CSE,1,NULL
hihoo,bkeh,hgh@iiitd.ac.in,666,0,CSE,1,NULL
hljpj,fkfhw,gi@iiitd.ac.in,444,0,CSE,1,NULL
123,Pankhu,pankhu@iiitd.ac.in,444,0,CSE,1,"MTH100,ECE100,CSE100,MTH2x2,﻿CSE121,"
fhifho,nushka,nushka@iiitd.ac.in,222,0,CSE,1,"MTH100,CSE100,ECE100,"
